NTM220,variation,NTM220,MOZ-NTM,NTM220,NTM,https://kosbud.ua/wp-content/uploads/2022/01/ntm220.png,#000000
NTM221,variation,NTM221,MOZ-NTM,NTM221,NTM,https://kosbud.ua/wp-content/uploads/2022/01/ntm221.png,#000000
NTM222,variation,NTM222,MOZ-NTM,NTM222,NTM,https://kosbud.ua/wp-content/uploads/2022/01/ntm222.png,#000000
NTM223,variation,NTM223,MOZ-NTM,NTM223,NTM,https://kosbud.ua/wp-content/uploads/2022/01/ntm223.png,#000000
NTM224,variation,NTM224,MOZ-NTM,NTM224,NTM,https://kosbud.ua/wp-content/uploads/2022/01/ntm224.png,#000000
NTM225,variation,NTM225,MOZ-NTM,NTM225,NTM,https://kosbud.ua/wp-content/uploads/2022/01/ntm225.png,#000000
NTM226,variation,NTM226,MOZ-NTM,NTM226,NTM,https://kosbud.ua/wp-content/uploads/2022/01/ntm226.png,#000000
NTM227,variation,NTM227,MOZ-NTM,NTM227,NTM,https://kosbud.ua/wp-content/uploads/2022/01/ntm227.png,#000000
Name,Type,SKU,Parent SKU,Attribute:pa_color,Attribute:pa_series,Images,_woodmart_swatch_color
Mozalit палітра TM,variable,MOZ-TM,,,TM,,,
TM228,variation,TM228,MOZ-TM,TM228,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm228.png,#000000
TM229,variation,TM229,MOZ-TM,TM229,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm229.png,#000000
TM230,variation,TM230,MOZ-TM,TM230,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm230.png,#000000
TM231,variation,TM231,MOZ-TM,TM231,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm231.png,#000000
TM232,variation,TM232,MOZ-TM,TM232,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm232.png,#000000
TM233,variation,TM233,MOZ-TM,TM233,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm233.png,#000000
TM234,variation,TM234,MOZ-TM,TM234,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm234.png,#000000
TM235,variation,TM235,MOZ-TM,TM235,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm235.png,#000000
TM236,variation,TM236,MOZ-TM,TM236,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm236.png,#000000
TM237,variation,TM237,MOZ-TM,TM237,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm237.png,#000000
TM238,variation,TM238,MOZ-TM,TM238,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm238.png,#000000
TM239,variation,TM239,MOZ-TM,TM239,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm239.png,#000000
TM240,variation,TM240,MOZ-TM,TM240,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm240.png,#000000
TM241,variation,TM241,MOZ-TM,TM241,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm241.png,#000000
TM242,variation,TM242,MOZ-TM,TM242,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm242.png,#000000
TM243,variation,TM243,MOZ-TM,TM243,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm243.png,#000000
TM245,variation,TM245,MOZ-TM,TM245,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm245.png,#000000
TM246,variation,TM246,MOZ-TM,TM246,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm246.png,#000000
TM247,variation,TM247,MOZ-TM,TM247,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm247.png,#000000
TM248,variation,TM248,MOZ-TM,TM248,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm248.png,#000000
TM249,variation,TM249,MOZ-TM,TM249,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm249.png,#000000
TM250,variation,TM250,MOZ-TM,TM250,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm250.png,#000000
TM251,variation,TM251,MOZ-TM,TM251,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm251.jpg,#000000
TM252,variation,TM252,MOZ-TM,TM252,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm252.jpg,#000000
TM253,variation,TM253,MOZ-TM,TM253,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm253.jpg,#000000
TM254,variation,TM254,MOZ-TM,TM254,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm254.jpg,#000000
TM255,variation,TM255,MOZ-TM,TM255,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm255.jpg,#000000
TM256,variation,TM256,MOZ-TM,TM256,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm256.jpg,#000000
TM257,variation,TM257,MOZ-TM,TM257,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm257.jpg,#000000
TM258,variation,TM258,MOZ-TM,TM258,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm258.jpg,#000000
TM259,variation,TM259,MOZ-TM,TM259,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm259.jpg,#000000
TM260,variation,TM260,MOZ-TM,TM260,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm260.jpg,#000000
TM261,variation,TM261,MOZ-TM,TM261,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm261.jpg,#000000
TM262,variation,TM262,MOZ-TM,TM262,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm262.jpg,#000000
TM263,variation,TM263,MOZ-TM,TM263,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm263.jpg,#000000
TM264,variation,TM264,MOZ-TM,TM264,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm264.jpg,#000000
TM266,variation,TM266,MOZ-TM,TM266,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm266.jpg,#000000
TM267,variation,TM267,MOZ-TM,TM267,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm267.jpg,#000000
TM268,variation,TM268,MOZ-TM,TM268,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm268.jpg,#000000
TM270,variation,TM270,MOZ-TM,TM270,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm270.jpg,#000000
TM271,variation,TM271,MOZ-TM,TM271,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm271.jpg,#000000
TM272,variation,TM272,MOZ-TM,TM272,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm272.jpg,#000000
TM273,variation,TM273,MOZ-TM,TM273,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm273.jpg,#000000
TM274,variation,TM274,MOZ-TM,TM274,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm274.jpg,#000000
TM275,variation,TM275,MOZ-TM,TM275,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm275.jpg,#000000
TM276,variation,TM276,MOZ-TM,TM276,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm276.jpg,#000000
TM277,variation,TM277,MOZ-TM,TM277,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm277.jpg,#000000
TM278,variation,TM278,MOZ-TM,TM278,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm278.jpg,#000000
TM279,variation,TM279,MOZ-TM,TM279,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm279.jpg,#000000
TM280,variation,TM280,MOZ-TM,TM280,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm280.jpg,#000000
TM281,variation,TM281,MOZ-TM,TM281,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm281.jpg,#000000
TM282,variation,TM282,MOZ-TM,TM282,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm282.jpg,#000000
TM283,variation,TM283,MOZ-TM,TM283,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm283.jpg,#000000
TM304,variation,TM304,MOZ-TM,TM304,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm304.jpg,#000000
TM305,variation,TM305,MOZ-TM,TM305,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm305.jpg,#000000
TM306,variation,TM306,MOZ-TM,TM306,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm306.jpg,#000000
TM307,variation,TM307,MOZ-TM,TM307,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm307.jpg,#000000
TM308,variation,TM308,MOZ-TM,TM308,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm308.jpg,#000000
TM309,variation,TM309,MOZ-TM,TM309,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm309.jpg,#000000
TM310,variation,TM310,MOZ-TM,TM310,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm310.jpg,#000000
TM311,variation,TM311,MOZ-TM,TM311,TM,https://kosbud.ua/wp-content/uploads/2022/01/tm311.jpg,#000000
