post_title,post_name,post_type,post_parent,attribute:pa_color,attribute_data:pa_color,attribute:pa_series,attribute_data:pa_series,_woodmart_swatch_color,images
NTM221,ntm221,product_variation,{{ID}},NTM221,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm221.png
NTM222,ntm222,product_variation,{{ID}},NTM222,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm222.png
NTM223,ntm223,product_variation,{{ID}},NTM223,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm223.png
NTM224,ntm224,product_variation,{{ID}},NTM224,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm224.png
NTM225,ntm225,product_variation,{{ID}},NTM225,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm225.png
NTM226,ntm226,product_variation,{{ID}},NTM226,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm226.png
NTM227,ntm227,product_variation,{{ID}},NTM227,1,NTM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/ntm227.png
Mozalit палітра TM,mozalit-palitra-tm,product,,"TM228,TM229,TM230,TM231,TM232,TM233,TM234,TM235,TM236,TM237,TM238,TM239,TM240,TM241,TM242,TM243,TM245,TM246,TM247,TM248,TM249,TM250,TM251,TM252,TM253,TM254,TM255,TM256,TM257,TM258,TM259,TM260,TM261,TM262,TM263,TM264,TM266,TM267,TM268,TM270,TM271,TM272,TM273,TM274,TM275,TM276,TM277,TM278,TM279,TM280,TM281,TM282,TM283,TM304,TM305,TM306,TM307,TM308,TM309,TM310,TM311",1,TM,1,,
TM228,tm228,product_variation,{{ID}},TM228,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm228.png
TM229,tm229,product_variation,{{ID}},TM229,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm229.png
TM230,tm230,product_variation,{{ID}},TM230,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm230.png
TM231,tm231,product_variation,{{ID}},TM231,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm231.png
TM232,tm232,product_variation,{{ID}},TM232,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm232.png
TM233,tm233,product_variation,{{ID}},TM233,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm233.png
TM234,tm234,product_variation,{{ID}},TM234,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm234.png
TM235,tm235,product_variation,{{ID}},TM235,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm235.png
TM236,tm236,product_variation,{{ID}},TM236,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm236.png
TM237,tm237,product_variation,{{ID}},TM237,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm237.png
TM238,tm238,product_variation,{{ID}},TM238,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm238.png
TM239,tm239,product_variation,{{ID}},TM239,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm239.png
TM240,tm240,product_variation,{{ID}},TM240,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm240.png
TM241,tm241,product_variation,{{ID}},TM241,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm241.png
TM242,tm242,product_variation,{{ID}},TM242,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm242.png
TM243,tm243,product_variation,{{ID}},TM243,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm243.png
TM245,tm245,product_variation,{{ID}},TM245,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm245.png
TM246,tm246,product_variation,{{ID}},TM246,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm246.png
TM247,tm247,product_variation,{{ID}},TM247,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm247.png
TM248,tm248,product_variation,{{ID}},TM248,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm248.png
TM249,tm249,product_variation,{{ID}},TM249,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm249.png
TM250,tm250,product_variation,{{ID}},TM250,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm250.png
TM251,tm251,product_variation,{{ID}},TM251,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm251.jpg
TM252,tm252,product_variation,{{ID}},TM252,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm252.jpg
