taxonomy,term name,term slug,term description,image
pa_color,BK 1169,bk-1169,"Колір BK 1169, HEX #eec592",colors/bk-1169.png
pa_color,CK 1170,ck-1170,"Колір CK 1170, HEX #eabb82",colors/ck-1170.png
pa_color,AK 1171,ak-1171,"Колір AK 1171, HEX #efe0cd",colors/ak-1171.png
pa_color,AK 1172,ak-1172,"Колір AK 1172, HEX #f0dcc8",colors/ak-1172.png
pa_color,AK 1173,ak-1173,"Колір AK 1173, HEX #f2d8be",colors/ak-1173.png
pa_color,AK 1174,ak-1174,"Колір AK 1174, HEX #f5ca9b",colors/ak-1174.png
pa_color,BK 1175,bk-1175,"Колір BK 1175, HEX #f6c192",colors/bk-1175.png
pa_color,AK 1176,ak-1176,"Колір AK 1176, HEX #f2e9dd",colors/ak-1176.png
pa_color,AK 1177,ak-1177,"Колір AK 1177, HEX #edddc6",colors/ak-1177.png
pa_color,BK 1178,bk-1178,"Колір BK 1178, HEX #f2d5b2",colors/bk-1178.png
pa_color,BK 1179,bk-1179,"Колір BK 1179, HEX #f2d1ad",colors/bk-1179.png
pa_color,BK 1180,bk-1180,"Колір BK 1180, HEX #f6cca3",colors/bk-1180.png
pa_color,AK 1181,ak-1181,"Колір AK 1181, HEX #eedcc8",colors/ak-1181.png
pa_color,AK 1182,ak-1182,"Колір AK 1182, HEX #ecd5c3",colors/ak-1182.png
pa_color,AK 1183,ak-1183,"Колір AK 1183, HEX #eacfb8",colors/ak-1183.png
pa_color,AK 1184,ak-1184,"Колір AK 1184, HEX #e9c5aa",colors/ak-1184.png
pa_color,BK 1185,bk-1185,"Колір BK 1185, HEX #e9bda1",colors/bk-1185.png
pa_color,AK 1186,ak-1186,"Колір AK 1186, HEX #eddcd0",colors/ak-1186.png
pa_color,AK 1187,ak-1187,"Колір AK 1187, HEX #e8cfbf",colors/ak-1187.png
pa_color,AK 1188,ak-1188,"Колір AK 1188, HEX #e9c1aa",colors/ak-1188.png
pa_color,AK 1189,ak-1189,"Колір AK 1189, HEX #e7b396",colors/ak-1189.png
pa_color,AK 1190,ak-1190,"Колір AK 1190, HEX #e3ad8f",colors/ak-1190.png
pa_color,BK 1192,bk-1192,"Колір BK 1192, HEX #cdd1b0",colors/bk-1192.png
pa_color,BK 1193,bk-1193,"Колір BK 1193, HEX #bbbe96",colors/bk-1193.png
pa_color,BK 1194,bk-1194,"Колір BK 1194, HEX #acb185",colors/bk-1194.png
