SKU,Type,Parent SKU,Name,Attribute:Color,Attribute:Color Visible,Attribute:Color Global,Images,Image Alt Text,HEX,Description
pk-1137,variation,kosbud,PK 1137,PK 1137,1,1,colors/pk-1137.png,PK 1137 – #e56e77 swatch,#e56e77,"Колір PK 1137, HEX #e56e77"
pk-1138,variation,kosbud,PK 1138,PK 1138,1,1,colors/pk-1138.png,PK 1138 – #e25661 swatch,#e25661,"Колір PK 1138, HEX #e25661"
pk-1139,variation,kosbud,PK 1139,PK 1139,1,1,colors/pk-1139.png,PK 1139 – #d9424b swatch,#d9424b,"Колір PK 1139, HEX #d9424b"
pk-1140,variation,kosbud,PK 1140,PK 1140,1,1,colors/pk-1140.png,PK 1140 – #d23544 swatch,#d23544,"Колір PK 1140, HEX #d23544"
ak-1141,variation,kosbud,AK 1141,AK 1141,1,1,colors/ak-1141.png,AK 1141 – #c07c6f swatch,#c07c6f,"Колір AK 1141, HEX #c07c6f"
bk-1142,variation,kosbud,BK 1142,BK 1142,1,1,colors/bk-1142.png,BK 1142 – #be796b swatch,#be796b,"Колір BK 1142, HEX #be796b"
bk-1143,variation,kosbud,BK 1143,BK 1143,1,1,colors/bk-1143.png,BK 1143 – #b25f53 swatch,#b25f53,"Колір BK 1143, HEX #b25f53"
ck-1144,variation,kosbud,CK 1144,CK 1144,1,1,colors/ck-1144.png,CK 1144 – #a95348 swatch,#a95348,"Колір CK 1144, HEX #a95348"
dk-1145,variation,kosbud,DK 1145,DK 1145,1,1,colors/dk-1145.png,DK 1145 – #9b4b3e swatch,#9b4b3e,"Колір DK 1145, HEX #9b4b3e"
ak-1146,variation,kosbud,AK 1146,AK 1146,1,1,colors/ak-1146.png,AK 1146 – #ecdaba swatch,#ecdaba,"Колір AK 1146, HEX #ecdaba"
ak-1147,variation,kosbud,AK 1147,AK 1147,1,1,colors/ak-1147.png,AK 1147 – #e9d8b7 swatch,#e9d8b7,"Колір AK 1147, HEX #e9d8b7"
ak-1148,variation,kosbud,AK 1148,AK 1148,1,1,colors/ak-1148.png,AK 1148 – #e6cea4 swatch,#e6cea4,"Колір AK 1148, HEX #e6cea4"
ak-1149,variation,kosbud,AK 1149,AK 1149,1,1,colors/ak-1149.png,AK 1149 – #e5c893 swatch,#e5c893,"Колір AK 1149, HEX #e5c893"
bk-1150,variation,kosbud,BK 1150,BK 1150,1,1,colors/bk-1150.png,BK 1150 – #dfbf88 swatch,#dfbf88,"Колір BK 1150, HEX #dfbf88"
ak-1151,variation,kosbud,AK 1151,AK 1151,1,1,colors/ak-1151.png,AK 1151 – #f0e7d4 swatch,#f0e7d4,"Колір AK 1151, HEX #f0e7d4"
ak-1152,variation,kosbud,AK 1152,AK 1152,1,1,colors/ak-1152.png,AK 1152 – #ebe1cd swatch,#ebe1cd,"Колір AK 1152, HEX #ebe1cd"
ak-1153,variation,kosbud,AK 1153,AK 1153,1,1,colors/ak-1153.png,AK 1153 – #eee1c3 swatch,#eee1c3,"Колір AK 1153, HEX #eee1c3"
bk-1154,variation,kosbud,BK 1154,BK 1154,1,1,colors/bk-1154.png,BK 1154 – #ebd8ac swatch,#ebd8ac,"Колір BK 1154, HEX #ebd8ac"
bk-1155,variation,kosbud,BK 1155,BK 1155,1,1,colors/bk-1155.png,BK 1155 – #e7cb92 swatch,#e7cb92,"Колір BK 1155, HEX #e7cb92"
ak-1156,variation,kosbud,AK 1156,AK 1156,1,1,colors/ak-1156.png,AK 1156 – #e4d5b7 swatch,#e4d5b7,"Колір AK 1156, HEX #e4d5b7"
ak-1157,variation,kosbud,AK 1157,AK 1157,1,1,colors/ak-1157.png,AK 1157 – #e6d5b1 swatch,#e6d5b1,"Колір AK 1157, HEX #e6d5b1"
ak-1158,variation,kosbud,AK 1158,AK 1158,1,1,colors/ak-1158.png,AK 1158 – #eed7a6 swatch,#eed7a6,"Колір AK 1158, HEX #eed7a6"
bk-1160,variation,kosbud,BK 1160,BK 1160,1,1,colors/bk-1160.png,BK 1160 – #f0cc8d swatch,#f0cc8d,"Колір BK 1160, HEX #f0cc8d"
ak-1161,variation,kosbud,AK 1161,AK 1161,1,1,colors/ak-1161.png,AK 1161 – #eee4d0 swatch,#eee4d0,"Колір AK 1161, HEX #eee4d0"
ak-1162,variation,kosbud,AK 1162,AK 1162,1,1,colors/ak-1162.png,AK 1162 – #e9dec6 swatch,#e9dec6,"Колір AK 1162, HEX #e9dec6"
ak-1164,variation,kosbud,AK 1164,AK 1164,1,1,colors/ak-1164.png,AK 1164 – #eed3a8 swatch,#eed3a8,"Колір AK 1164, HEX #eed3a8"
ak-1165,variation,kosbud,AK 1165,AK 1165,1,1,colors/ak-1165.png,AK 1165 – #eecc99 swatch,#eecc99,"Колір AK 1165, HEX #eecc99"
ak-1166,variation,kosbud,AK 1166,AK 1166,1,1,colors/ak-1166.png,AK 1166 – #efddbd swatch,#efddbd,"Колір AK 1166, HEX #efddbd"
bk-1167,variation,kosbud,BK 1167,BK 1167,1,1,colors/bk-1167.png,BK 1167 – #efd6b0 swatch,#efd6b0,"Колір BK 1167, HEX #efd6b0"
bk-1168,variation,kosbud,BK 1168,BK 1168,1,1,colors/bk-1168.png,BK 1168 – #efcb9d swatch,#efcb9d,"Колір BK 1168, HEX #efcb9d"
bk-1169,variation,kosbud,BK 1169,BK 1169,1,1,colors/bk-1169.png,BK 1169 – #eec592 swatch,#eec592,"Колір BK 1169, HEX #eec592"
ck-1170,variation,kosbud,CK 1170,CK 1170,1,1,colors/ck-1170.png,CK 1170 – #eabb82 swatch,#eabb82,"Колір CK 1170, HEX #eabb82"
ak-1171,variation,kosbud,AK 1171,AK 1171,1,1,colors/ak-1171.png,AK 1171 – #efe0cd swatch,#efe0cd,"Колір AK 1171, HEX #efe0cd"
ak-1172,variation,kosbud,AK 1172,AK 1172,1,1,colors/ak-1172.png,AK 1172 – #f0dcc8 swatch,#f0dcc8,"Колір AK 1172, HEX #f0dcc8"
ak-1173,variation,kosbud,AK 1173,AK 1173,1,1,colors/ak-1173.png,AK 1173 – #f2d8be swatch,#f2d8be,"Колір AK 1173, HEX #f2d8be"
ak-1174,variation,kosbud,AK 1174,AK 1174,1,1,colors/ak-1174.png,AK 1174 – #f5ca9b swatch,#f5ca9b,"Колір AK 1174, HEX #f5ca9b"
